"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get the detail of Participant","239","Participants Detail","Assurdly | Participant APIs","Wed May 14 18:48:09 GMT 2025","passed","Wed May 14 18:48:09 GMT 2025","","Get a Participant","",""
"","145","Login - Invalid Credentials","Assurdly | Participant APIs","Wed May 14 18:48:08 GMT 2025","passed","Wed May 14 18:48:08 GMT 2025","Login","Authentication","",""
"","976","Login - Valid Credentials","Assurdly | Participant APIs","Wed May 14 18:48:07 GMT 2025","failed","Wed May 14 18:48:08 GMT 2025","Login","Authentication","",""
"","234","Delete Brand for Participant","Assurdly | Participant APIs","Wed May 14 18:48:12 GMT 2025","passed","Wed May 14 18:48:12 GMT 2025","","Delete Brands","",""
"","236","Get Brands Aligned to Participan - Valid","Assurdly | Participant APIs","Wed May 14 18:48:11 GMT 2025","passed","Wed May 14 18:48:11 GMT 2025","","Get Participant Brands","",""
"Lists all the participants created with the system","245","Participants List - Valid Request","Assurdly | Participant APIs","Wed May 14 18:48:08 GMT 2025","passed","Wed May 14 18:48:09 GMT 2025","","List Participants","",""
"Used to update the Site Details","235","Update Site Detail","Assurdly | Participant APIs","Wed May 14 18:48:10 GMT 2025","passed","Wed May 14 18:48:10 GMT 2025","","Update Site","",""
"","144","Login - Invalid Credentials - Missing Email","Assurdly | Participant APIs","Wed May 14 18:48:08 GMT 2025","passed","Wed May 14 18:48:08 GMT 2025","Login","Authentication","",""
"Used to add new site","239","Add New Site Detail","Assurdly | Participant APIs","Wed May 14 18:48:10 GMT 2025","failed","Wed May 14 18:48:11 GMT 2025","","Add Site","",""
"Lists all the participants created with the system","233","Participants List - No Auth","Assurdly | Participant APIs","Wed May 14 18:48:09 GMT 2025","failed","Wed May 14 18:48:09 GMT 2025","","List Participants","",""
"Used to add new Participant","239","Add New Participant","Assurdly | Participant APIs","Wed May 14 18:48:11 GMT 2025","failed","Wed May 14 18:48:11 GMT 2025","","Add Participant","",""
"Get the detail of Participant","260","Participants Detail - No Auth","Assurdly | Participant APIs","Wed May 14 18:48:09 GMT 2025","failed","Wed May 14 18:48:09 GMT 2025","","Get a Participant","",""
"","139","Login - Invalid Credentials - Missing Password","Assurdly | Participant APIs","Wed May 14 18:48:08 GMT 2025","failed","Wed May 14 18:48:08 GMT 2025","Login","Authentication","",""
"Used to update the Participant Details","238","Update Participants Detail - Valid Copy","Assurdly | Participant APIs","Wed May 14 18:48:10 GMT 2025","passed","Wed May 14 18:48:10 GMT 2025","","Update Participant","",""
"Used to update the Participant Details","241","Update Participants Detail - Valid","Assurdly | Participant APIs","Wed May 14 18:48:09 GMT 2025","passed","Wed May 14 18:48:10 GMT 2025","","Update Participant","",""
"","235","Get Countries List","Assurdly | Participant APIs","Wed May 14 18:48:12 GMT 2025","failed","Wed May 14 18:48:12 GMT 2025","","Country List","",""
"","236","Add new Brand for Participant","Assurdly | Participant APIs","Wed May 14 18:48:11 GMT 2025","passed","Wed May 14 18:48:12 GMT 2025","","create-brands","",""
"Used to get the release version","239","Get App Release Version","Assurdly | Participant APIs","Wed May 14 18:48:11 GMT 2025","passed","Wed May 14 18:48:11 GMT 2025","","Get App Release","",""
"Used to update the Participant Details","242","Update Participants Detail - Nonexisting participant","Assurdly | Participant APIs","Wed May 14 18:48:10 GMT 2025","passed","Wed May 14 18:48:10 GMT 2025","","Update Participant","",""
