"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get the detail of Participant","207","Participants Detail","Assurdly | Participant APIs","Wed May 21 18:49:09 GMT 2025","passed","Wed May 21 18:49:09 GMT 2025","","Get a Participant","",""
"Lists all the participants created with the system","200","Participants List - No Auth","Assurdly | Participant APIs","Wed May 21 18:49:08 GMT 2025","failed","Wed May 21 18:49:09 GMT 2025","","List Participants","",""
"","126","Login - Invalid Credentials - Missing Email","Assurdly | Participant APIs","Wed May 21 18:49:08 GMT 2025","passed","Wed May 21 18:49:08 GMT 2025","Login","Authentication","",""
"","204","Add new Brand for Participant","Assurdly | Participant APIs","Wed May 21 18:49:11 GMT 2025","passed","Wed May 21 18:49:11 GMT 2025","","create-brands","",""
"Lists all the participants created with the system","209","Participants List - Valid Request","Assurdly | Participant APIs","Wed May 21 18:49:08 GMT 2025","passed","Wed May 21 18:49:08 GMT 2025","","List Participants","",""
"Used to update the Site Details","203","Update Site Detail","Assurdly | Participant APIs","Wed May 21 18:49:10 GMT 2025","passed","Wed May 21 18:49:10 GMT 2025","","Update Site","",""
"","203","Delete Brand for Participant","Assurdly | Participant APIs","Wed May 21 18:49:11 GMT 2025","passed","Wed May 21 18:49:11 GMT 2025","","Delete Brands","",""
"Used to get the release version","203","Get App Release Version","Assurdly | Participant APIs","Wed May 21 18:49:10 GMT 2025","passed","Wed May 21 18:49:11 GMT 2025","","Get App Release","",""
"Used to update the Participant Details","212","Update Participants Detail - Valid","Assurdly | Participant APIs","Wed May 21 18:49:09 GMT 2025","passed","Wed May 21 18:49:09 GMT 2025","","Update Participant","",""
"","690","Login - Valid Credentials","Assurdly | Participant APIs","Wed May 21 18:49:07 GMT 2025","failed","Wed May 21 18:49:08 GMT 2025","Login","Authentication","",""
"Used to add new Participant","211","Add New Participant","Assurdly | Participant APIs","Wed May 21 18:49:10 GMT 2025","failed","Wed May 21 18:49:10 GMT 2025","","Add Participant","",""
"","201","Get Countries List","Assurdly | Participant APIs","Wed May 21 18:49:11 GMT 2025","failed","Wed May 21 18:49:11 GMT 2025","","Country List","",""
"","131","Login - Invalid Credentials","Assurdly | Participant APIs","Wed May 21 18:49:08 GMT 2025","passed","Wed May 21 18:49:08 GMT 2025","Login","Authentication","",""
"","200","Get Brands Aligned to Participan - Valid","Assurdly | Participant APIs","Wed May 21 18:49:11 GMT 2025","passed","Wed May 21 18:49:11 GMT 2025","","Get Participant Brands","",""
"Used to update the Participant Details","207","Update Participants Detail - Nonexisting participant","Assurdly | Participant APIs","Wed May 21 18:49:09 GMT 2025","passed","Wed May 21 18:49:09 GMT 2025","","Update Participant","",""
"Used to update the Participant Details","204","Update Participants Detail - Valid Copy","Assurdly | Participant APIs","Wed May 21 18:49:09 GMT 2025","passed","Wed May 21 18:49:10 GMT 2025","","Update Participant","",""
"Get the detail of Participant","203","Participants Detail - No Auth","Assurdly | Participant APIs","Wed May 21 18:49:09 GMT 2025","failed","Wed May 21 18:49:09 GMT 2025","","Get a Participant","",""
"","125","Login - Invalid Credentials - Missing Password","Assurdly | Participant APIs","Wed May 21 18:49:08 GMT 2025","failed","Wed May 21 18:49:08 GMT 2025","Login","Authentication","",""
"Used to add new site","207","Add New Site Detail","Assurdly | Participant APIs","Wed May 21 18:49:10 GMT 2025","failed","Wed May 21 18:49:10 GMT 2025","","Add Site","",""
