"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","230","Get Analysis Product Ids","Assurdly | Producer API","Fri Jun 06 18:50:23 GMT 2025","passed","Fri Jun 06 18:50:23 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","220","Get Tooltips","Assurdly | Producer API","Fri Jun 06 18:50:22 GMT 2025","passed","Fri Jun 06 18:50:22 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","312","Get FQS Invalid Field","Assurdly | Producer API","Fri Jun 06 18:50:26 GMT 2025","passed","Fri Jun 06 18:50:26 GMT 2025","","FQS","",""
"","226","Get Analysis Product Ids - Empty Fields","Assurdly | Producer API","Fri Jun 06 18:50:23 GMT 2025","passed","Fri Jun 06 18:50:24 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","225","Get Product Instance Graph Invalid Field","Assurdly | Producer API","Fri Jun 06 18:50:19 GMT 2025","failed","Fri Jun 06 18:50:19 GMT 2025","","Product Instances","",""
"","227","Get Tooltips","Assurdly | Producer API","Fri Jun 06 18:50:15 GMT 2025","passed","Fri Jun 06 18:50:16 GMT 2025","Transformation > Get Tooltips","Transformation Event","",""
"","311","Get Share FQS - No auth","Assurdly | Producer API","Fri Jun 06 18:50:26 GMT 2025","passed","Fri Jun 06 18:50:27 GMT 2025","","FQS","",""
"","222","Get product brand category","Assurdly | Producer API","Fri Jun 06 18:50:17 GMT 2025","passed","Fri Jun 06 18:50:17 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","313","Get Analysis Manufacturers - No Auth","Assurdly | Producer API","Fri Jun 06 18:50:24 GMT 2025","passed","Fri Jun 06 18:50:24 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","231","Get Preference","Assurdly | Producer API","Fri Jun 06 18:50:21 GMT 2025","passed","Fri Jun 06 18:50:21 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","221","Get Labels","Assurdly | Producer API","Fri Jun 06 18:50:22 GMT 2025","passed","Fri Jun 06 18:50:22 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","258","Create Single Event","Assurdly | Producer API","Fri Jun 06 18:50:18 GMT 2025","failed","Fri Jun 06 18:50:18 GMT 2025","Single Event","Transformation Event","",""
"","222","Get Total Event Empty Field","Assurdly | Producer API","Fri Jun 06 18:50:20 GMT 2025","failed","Fri Jun 06 18:50:20 GMT 2025","","Events","",""
"","227","Get transform outprod","Assurdly | Producer API","Fri Jun 06 18:50:16 GMT 2025","passed","Fri Jun 06 18:50:17 GMT 2025","Transformation > Get Transform Outprod","Transformation Event","",""
"","234","Participant Details","Assurdly | Producer API","Fri Jun 06 18:50:08 GMT 2025","passed","Fri Jun 06 18:50:08 GMT 2025","participant","Home","",""
"","310","Get Product Instance Graph","Assurdly | Producer API","Fri Jun 06 18:50:19 GMT 2025","passed","Fri Jun 06 18:50:19 GMT 2025","","Product Instances","",""
"","227","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Fri Jun 06 18:50:16 GMT 2025","failed","Fri Jun 06 18:50:16 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","226","Get all config types","Assurdly | Producer API","Fri Jun 06 18:50:21 GMT 2025","passed","Fri Jun 06 18:50:21 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","228","Get Labels - Empty Fields","Assurdly | Producer API","Fri Jun 06 18:50:22 GMT 2025","failed","Fri Jun 06 18:50:22 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","229","Get all config types","Assurdly | Producer API","Fri Jun 06 18:50:15 GMT 2025","passed","Fri Jun 06 18:50:15 GMT 2025","Transformation > Config Types","Transformation Event","",""
"","220","Set uom Preference","Assurdly | Producer API","Fri Jun 06 18:50:09 GMT 2025","failed","Fri Jun 06 18:50:10 GMT 2025","Preference","Home","",""
"","152","Tour Status","Assurdly | Producer API","Fri Jun 06 18:50:08 GMT 2025","passed","Fri Jun 06 18:50:08 GMT 2025","Tour","Home","",""
"","224","Get Preference - Empty Fields","Assurdly | Producer API","Fri Jun 06 18:50:15 GMT 2025","failed","Fri Jun 06 18:50:15 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","223","Get Preference - Empty Fields","Assurdly | Producer API","Fri Jun 06 18:50:21 GMT 2025","failed","Fri Jun 06 18:50:21 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","272","Get Product Instance List","Assurdly | Producer API","Fri Jun 06 18:50:18 GMT 2025","passed","Fri Jun 06 18:50:19 GMT 2025","","Product Instances","",""
"","218","Set uom Preference - Empty Value","Assurdly | Producer API","Fri Jun 06 18:50:10 GMT 2025","failed","Fri Jun 06 18:50:10 GMT 2025","Preference","Home","",""
"","399","Get Product Instance Shared Government","Assurdly | Producer API","Fri Jun 06 18:50:14 GMT 2025","passed","Fri Jun 06 18:50:14 GMT 2025","","Shared With Government","",""
"","221","Get uom Preference","Assurdly | Producer API","Fri Jun 06 18:50:09 GMT 2025","failed","Fri Jun 06 18:50:09 GMT 2025","Preference","Home","",""
"","226","Creating Analysis Event - Invalid Fields","Assurdly | Producer API","Fri Jun 06 18:50:25 GMT 2025","passed","Fri Jun 06 18:50:25 GMT 2025","Single Event","Analysis Event","",""
"","225","Get Company Type","Assurdly | Producer API","Fri Jun 06 18:50:16 GMT 2025","passed","Fri Jun 06 18:50:16 GMT 2025","Transformation > Get Company Type","Transformation Event","",""
"","226","Creating Analysis Event - Empty Fields","Assurdly | Producer API","Fri Jun 06 18:50:25 GMT 2025","passed","Fri Jun 06 18:50:25 GMT 2025","Single Event","Analysis Event","",""
"","219","Get Analysis Manufacturers - Empty Fields","Assurdly | Producer API","Fri Jun 06 18:50:23 GMT 2025","passed","Fri Jun 06 18:50:23 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","229","Read Notification","Assurdly | Producer API","Fri Jun 06 18:50:08 GMT 2025","passed","Fri Jun 06 18:50:09 GMT 2025","Notification","Home","",""
"","309","Get product brand category - No auth","Assurdly | Producer API","Fri Jun 06 18:50:17 GMT 2025","passed","Fri Jun 06 18:50:17 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","223","Get manufacturers","Assurdly | Producer API","Fri Jun 06 18:50:17 GMT 2025","passed","Fri Jun 06 18:50:17 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","221","Get Labels","Assurdly | Producer API","Fri Jun 06 18:50:16 GMT 2025","passed","Fri Jun 06 18:50:16 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","234","Creating Analysis Event","Assurdly | Producer API","Fri Jun 06 18:50:24 GMT 2025","failed","Fri Jun 06 18:50:25 GMT 2025","Single Event","Analysis Event","",""
"","219","Create Bulk Event","Assurdly | Producer API","Fri Jun 06 18:50:25 GMT 2025","failed","Fri Jun 06 18:50:25 GMT 2025","","Analysis Event","",""
"","311","Get manufacturers - No auth","Assurdly | Producer API","Fri Jun 06 18:50:17 GMT 2025","passed","Fri Jun 06 18:50:18 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","233","Get Product Instance Shared Government Copy","Assurdly | Producer API","Fri Jun 06 18:50:14 GMT 2025","passed","Fri Jun 06 18:50:14 GMT 2025","","Shared With Government","",""
