"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","230","Get Preference","Assurdly | Shipper API","Fri Jun 13 18:46:41 GMT 2025","failed","Fri Jun 13 18:46:41 GMT 2025","Preference > Fetch UOM Preference","Home","",""
"","225","Get participant details - Empty Fields","Assurdly | Shipper API","Fri Jun 13 18:46:51 GMT 2025","failed","Fri Jun 13 18:46:52 GMT 2025","Shipping > Get Participant Details","Shipping Event","",""
"","224","Total Events Count","Assurdly | Shipper API","Fri Jun 13 18:46:44 GMT 2025","passed","Fri Jun 13 18:46:44 GMT 2025","Total Event Count","Events Records","",""
"","230","Participant Details","Assurdly | Shipper API","Fri Jun 13 18:46:40 GMT 2025","passed","Fri Jun 13 18:46:41 GMT 2025","Participant","Home","",""
"","220","Get product id","Assurdly | Shipper API","Fri Jun 13 18:46:52 GMT 2025","passed","Fri Jun 13 18:46:52 GMT 2025","Shipping > Get Product Id","Shipping Event","",""
"","216","Get trading partner","Assurdly | Shipper API","Fri Jun 13 18:46:52 GMT 2025","passed","Fri Jun 13 18:46:52 GMT 2025","Shipping > Get Trading Pertner","Shipping Event","",""
"","219","Set uom Preference - Empty Value","Assurdly | Shipper API","Fri Jun 13 18:46:41 GMT 2025","failed","Fri Jun 13 18:46:41 GMT 2025","Preference > Set UOM Preference","Home","",""
"","217","Get column mapper state","Assurdly | Shipper API","Fri Jun 13 18:46:53 GMT 2025","passed","Fri Jun 13 18:46:53 GMT 2025","Bulk Upload > Column Mapped State","Shipping Event","",""
"","840","Login - Valid Credentials","Assurdly | Shipper API","Fri Jun 13 18:46:38 GMT 2025","passed","Fri Jun 13 18:46:39 GMT 2025","Login","Authentication","",""
"","126","Read Notification","Assurdly | Shipper API","Fri Jun 13 18:46:40 GMT 2025","passed","Fri Jun 13 18:46:40 GMT 2025","Notification","Home","",""
"","219","Get label","Assurdly | Shipper API","Fri Jun 13 18:46:50 GMT 2025","passed","Fri Jun 13 18:46:50 GMT 2025","Shipping > Get Labels","Shipping Event","",""
"","288","Get Sites","Assurdly | Shipper API","Fri Jun 13 18:46:49 GMT 2025","passed","Fri Jun 13 18:46:50 GMT 2025","Shipping > Get Sites","Shipping Event","",""
"","906","Get Product Instance Shared With Government Stats - Invalid Request (missing or incomplete field)","Assurdly | Shipper API","Fri Jun 13 18:46:48 GMT 2025","failed","Fri Jun 13 18:46:49 GMT 2025","","Shared With Government","",""
"","225","Get tooltips","Assurdly | Shipper API","Fri Jun 13 18:46:50 GMT 2025","passed","Fri Jun 13 18:46:50 GMT 2025","Shipping > Get Tooltips","Shipping Event","",""
"","221","Total Events Count - Empty Fields","Assurdly | Shipper API","Fri Jun 13 18:46:44 GMT 2025","failed","Fri Jun 13 18:46:44 GMT 2025","Total Event Count","Events Records","",""
"","898","Dashboard Filter - Empty Required Fields","Assurdly | Shipper API","Fri Jun 13 18:46:42 GMT 2025","failed","Fri Jun 13 18:46:43 GMT 2025","Stats","Dashboard","",""
"","224","Get participant details","Assurdly | Shipper API","Fri Jun 13 18:46:51 GMT 2025","passed","Fri Jun 13 18:46:51 GMT 2025","Shipping > Get Participant Details","Shipping Event","",""
"","912","Get Product Instance Shared With Government Stats","Assurdly | Shipper API","Fri Jun 13 18:46:47 GMT 2025","passed","Fri Jun 13 18:46:48 GMT 2025","","Shared With Government","",""
"","126","Login - Invalid Credentials - Missing Email","Assurdly | Shipper API","Fri Jun 13 18:46:40 GMT 2025","passed","Fri Jun 13 18:46:40 GMT 2025","Login","Authentication","",""
"","127","Read Notification - Invalid Notification id","Assurdly | Shipper API","Fri Jun 13 18:46:40 GMT 2025","failed","Fri Jun 13 18:46:40 GMT 2025","Notification","Home","",""
"","281","Get Product Instance Shared with Government - Invalid Request (missing or incomplete field)","Assurdly | Shipper API","Fri Jun 13 18:46:47 GMT 2025","failed","Fri Jun 13 18:46:47 GMT 2025","","Shared With Government","",""
"","225","Get events information","Assurdly | Shipper API","Fri Jun 13 18:46:44 GMT 2025","passed","Fri Jun 13 18:46:45 GMT 2025","Event Information","Events Records","",""
"","269","Get Product Instance","Assurdly | Shipper API","Fri Jun 13 18:46:45 GMT 2025","failed","Fri Jun 13 18:46:45 GMT 2025","","Product Instances","",""
"","234","Get preference","Assurdly | Shipper API","Fri Jun 13 18:46:51 GMT 2025","passed","Fri Jun 13 18:46:51 GMT 2025","Shipping > Get Preference","Shipping Event","",""
"","126","Tour Status","Assurdly | Shipper API","Fri Jun 13 18:46:40 GMT 2025","passed","Fri Jun 13 18:46:40 GMT 2025","Tour","Home","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","509","Total Event - Empty Fields","Assurdly | Shipper API","Fri Jun 13 18:46:43 GMT 2025","failed","Fri Jun 13 18:46:44 GMT 2025","Total Event","Events Records","",""
"","232","Get all config types","Assurdly | Shipper API","Fri Jun 13 18:46:50 GMT 2025","passed","Fri Jun 13 18:46:50 GMT 2025","Shipping > Config Types","Shipping Event","",""
"","257","Total Event","Assurdly | Shipper API","Fri Jun 13 18:46:43 GMT 2025","passed","Fri Jun 13 18:46:43 GMT 2025","Total Event","Events Records","",""
"","223","Bulk event","Assurdly | Shipper API","Fri Jun 13 18:46:53 GMT 2025","failed","Fri Jun 13 18:46:53 GMT 2025","Bulk Upload > Bulk Event","Shipping Event","",""
"","212","Login - Invalid Credentials","Assurdly | Shipper API","Fri Jun 13 18:46:39 GMT 2025","passed","Fri Jun 13 18:46:39 GMT 2025","Login","Authentication","",""
"","222","Set Preference","Assurdly | Shipper API","Fri Jun 13 18:46:41 GMT 2025","failed","Fri Jun 13 18:46:41 GMT 2025","Preference > Set UOM Preference","Home","",""
"","320","Notifications","Assurdly | Shipper API","Fri Jun 13 18:46:40 GMT 2025","failed","Fri Jun 13 18:46:40 GMT 2025","Notification","Home","",""
"","280","Creating Shipping Event","Assurdly | Shipper API","Fri Jun 13 18:46:52 GMT 2025","passed","Fri Jun 13 18:46:53 GMT 2025","Single Event","Shipping Event","",""
"","902","Dashboard Filter","Assurdly | Shipper API","Fri Jun 13 18:46:41 GMT 2025","passed","Fri Jun 13 18:46:42 GMT 2025","Stats","Dashboard","",""
"","220","Get Labels - Case Sensitive Event Type","Assurdly | Shipper API","Fri Jun 13 18:46:50 GMT 2025","failed","Fri Jun 13 18:46:51 GMT 2025","Shipping > Get Labels","Shipping Event","",""
"","124","Login - Invalid Credentials - Missing Password","Assurdly | Shipper API","Fri Jun 13 18:46:39 GMT 2025","failed","Fri Jun 13 18:46:40 GMT 2025","Login","Authentication","",""
"","270","Get Product Instance - Invalid Request (missing or incomplete field)","Assurdly | Shipper API","Fri Jun 13 18:46:45 GMT 2025","failed","Fri Jun 13 18:46:45 GMT 2025","","Product Instances","",""
"","892","Get Product Instance Graph Invalid Request (missing or incomplete field)","Assurdly | Shipper API","Fri Jun 13 18:46:46 GMT 2025","failed","Fri Jun 13 18:46:47 GMT 2025","","Product Instances","",""
"","314","Get Share FQS - No auth","Assurdly | Shipper API","Fri Jun 13 18:46:54 GMT 2025","passed","Fri Jun 13 18:46:54 GMT 2025","","FQS","",""
"","220","Get product id - Empty fields","Assurdly | Shipper API","Fri Jun 13 18:46:52 GMT 2025","passed","Fri Jun 13 18:46:52 GMT 2025","Shipping > Get Product Id","Shipping Event","",""
"","226","Get Share FQS","Assurdly | Shipper API","Fri Jun 13 18:46:53 GMT 2025","failed","Fri Jun 13 18:46:54 GMT 2025","","FQS","",""
"","219","Get Share FQS Invalid Field","Assurdly | Shipper API","Fri Jun 13 18:46:54 GMT 2025","passed","Fri Jun 13 18:46:54 GMT 2025","","FQS","",""
"","228","Get preference - Empty Fields","Assurdly | Shipper API","Fri Jun 13 18:46:51 GMT 2025","failed","Fri Jun 13 18:46:51 GMT 2025","Shipping > Get Preference","Shipping Event","",""
"","893","Get Product Instance Graph","Assurdly | Shipper API","Fri Jun 13 18:46:45 GMT 2025","passed","Fri Jun 13 18:46:46 GMT 2025","","Product Instances","",""
