"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","328","Add new Brand for Participant","Assurdly | Participant APIs","Fri Jun 06 18:48:34 GMT 2025","passed","Fri Jun 06 18:48:34 GMT 2025","","create-brands","",""
"","839","Login - Valid Credentials","Assurdly | Participant APIs","Fri Jun 06 18:48:29 GMT 2025","failed","Fri Jun 06 18:48:29 GMT 2025","Login","Authentication","",""
"Used to get the release version","330","Get App Release Version","Assurdly | Participant APIs","Fri Jun 06 18:48:33 GMT 2025","passed","Fri Jun 06 18:48:34 GMT 2025","","Get App Release","",""
"Used to update the Participant Details","339","Update Participants Detail - Nonexisting participant","Assurdly | Participant APIs","Fri Jun 06 18:48:32 GMT 2025","passed","Fri Jun 06 18:48:32 GMT 2025","","Update Participant","",""
"Used to add new Participant","333","Add New Participant","Assurdly | Participant APIs","Fri Jun 06 18:48:33 GMT 2025","failed","Fri Jun 06 18:48:33 GMT 2025","","Add Participant","",""
"","192","Login - Invalid Credentials - Missing Password","Assurdly | Participant APIs","Fri Jun 06 18:48:30 GMT 2025","failed","Fri Jun 06 18:48:30 GMT 2025","Login","Authentication","",""
"","329","Get Brands Aligned to Participan - Valid","Assurdly | Participant APIs","Fri Jun 06 18:48:34 GMT 2025","passed","Fri Jun 06 18:48:34 GMT 2025","","Get Participant Brands","",""
"Used to update the Site Details","333","Update Site Detail","Assurdly | Participant APIs","Fri Jun 06 18:48:32 GMT 2025","passed","Fri Jun 06 18:48:33 GMT 2025","","Update Site","",""
"Lists all the participants created with the system","330","Participants List - No Auth","Assurdly | Participant APIs","Fri Jun 06 18:48:30 GMT 2025","failed","Fri Jun 06 18:48:31 GMT 2025","","List Participants","",""
"","191","Login - Invalid Credentials","Assurdly | Participant APIs","Fri Jun 06 18:48:29 GMT 2025","passed","Fri Jun 06 18:48:30 GMT 2025","Login","Authentication","",""
"Get the detail of Participant","332","Participants Detail","Assurdly | Participant APIs","Fri Jun 06 18:48:31 GMT 2025","passed","Fri Jun 06 18:48:31 GMT 2025","","Get a Participant","",""
"Used to update the Participant Details","332","Update Participants Detail - Valid Copy","Assurdly | Participant APIs","Fri Jun 06 18:48:32 GMT 2025","passed","Fri Jun 06 18:48:32 GMT 2025","","Update Participant","",""
"","328","Get Countries List","Assurdly | Participant APIs","Fri Jun 06 18:48:35 GMT 2025","failed","Fri Jun 06 18:48:35 GMT 2025","","Country List","",""
"Get the detail of Participant","329","Participants Detail - No Auth","Assurdly | Participant APIs","Fri Jun 06 18:48:31 GMT 2025","failed","Fri Jun 06 18:48:31 GMT 2025","","Get a Participant","",""
"","191","Login - Invalid Credentials - Missing Email","Assurdly | Participant APIs","Fri Jun 06 18:48:30 GMT 2025","passed","Fri Jun 06 18:48:30 GMT 2025","Login","Authentication","",""
"","327","Delete Brand for Participant","Assurdly | Participant APIs","Fri Jun 06 18:48:34 GMT 2025","passed","Fri Jun 06 18:48:35 GMT 2025","","Delete Brands","",""
"Used to update the Participant Details","342","Update Participants Detail - Valid","Assurdly | Participant APIs","Fri Jun 06 18:48:31 GMT 2025","passed","Fri Jun 06 18:48:32 GMT 2025","","Update Participant","",""
"Lists all the participants created with the system","340","Participants List - Valid Request","Assurdly | Participant APIs","Fri Jun 06 18:48:30 GMT 2025","passed","Fri Jun 06 18:48:30 GMT 2025","","List Participants","",""
"Used to add new site","338","Add New Site Detail","Assurdly | Participant APIs","Fri Jun 06 18:48:33 GMT 2025","failed","Fri Jun 06 18:48:33 GMT 2025","","Add Site","",""
