"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","305","Get Analysis Manufacturers - No Auth","Assurdly | Producer API","Wed May 28 18:48:15 GMT 2025","passed","Wed May 28 18:48:15 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","215","Get Analysis Manufacturers - Empty Fields","Assurdly | Producer API","Wed May 28 18:48:14 GMT 2025","passed","Wed May 28 18:48:14 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","1684","Get Dashboard Statistics","Assurdly | Producer API","Wed May 28 18:48:01 GMT 2025","passed","Wed May 28 18:48:02 GMT 2025","Overview > Stats","Dashboard","",""
"","817","Login - Valid Credentials","Assurdly | Producer API","Wed May 28 18:47:57 GMT 2025","passed","Wed May 28 18:47:58 GMT 2025","Login","Authentication","",""
"","214","Get Share FQS Invalid Field","Assurdly | Producer API","Wed May 28 18:48:17 GMT 2025","passed","Wed May 28 18:48:17 GMT 2025","","FQS","",""
"","216","Get uom Preference","Assurdly | Producer API","Wed May 28 18:48:00 GMT 2025","failed","Wed May 28 18:48:00 GMT 2025","Preference","Home","",""
"","325","Notifications","Assurdly | Producer API","Wed May 28 18:47:59 GMT 2025","failed","Wed May 28 18:47:59 GMT 2025","Notification","Home","",""
"","219","Get Share FQS","Assurdly | Producer API","Wed May 28 18:48:17 GMT 2025","failed","Wed May 28 18:48:17 GMT 2025","","FQS","",""
"","228","Get Product Shared Government Count Empty Field","Assurdly | Producer API","Wed May 28 18:48:04 GMT 2025","passed","Wed May 28 18:48:04 GMT 2025","","Shared With Government","",""
"","217","Read Notification - Invalid Notification id","Assurdly | Producer API","Wed May 28 18:47:59 GMT 2025","failed","Wed May 28 18:48:00 GMT 2025","Notification","Home","",""
"","219","Get Preference","Assurdly | Producer API","Wed May 28 18:48:06 GMT 2025","passed","Wed May 28 18:48:06 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","216","Get Company Type","Assurdly | Producer API","Wed May 28 18:48:13 GMT 2025","passed","Wed May 28 18:48:13 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","224","Creating Analysis Event","Assurdly | Producer API","Wed May 28 18:48:15 GMT 2025","failed","Wed May 28 18:48:15 GMT 2025","Single Event","Analysis Event","",""
"","210","Create Bulk Event","Assurdly | Producer API","Wed May 28 18:48:16 GMT 2025","failed","Wed May 28 18:48:16 GMT 2025","","Analysis Event","",""
"","124","Login - Invalid Credentials - Missing Email","Assurdly | Producer API","Wed May 28 18:47:58 GMT 2025","passed","Wed May 28 18:47:58 GMT 2025","Login","Authentication","",""
"","228","Participant Details","Assurdly | Producer API","Wed May 28 18:47:59 GMT 2025","passed","Wed May 28 18:47:59 GMT 2025","participant","Home","",""
