"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","186","Login - Invalid Credentials - Missing Password","Assurdly | Participant APIs","Thu May 08 14:25:17 GMT 2025","failed","Thu May 08 14:25:17 GMT 2025","Login","Authentication","",""
"","179","Delete Brand for Participant","Assurdly | Participant APIs","Thu May 08 14:25:20 GMT 2025","passed","Thu May 08 14:25:20 GMT 2025","","Delete Brands","",""
"Get the detail of Participant","184","Participants Detail","Assurdly | Participant APIs","Thu May 08 14:25:18 GMT 2025","passed","Thu May 08 14:25:18 GMT 2025","","Get a Participant","",""
"Lists all the participants created with the system","197","Participants List - Valid Request","Assurdly | Participant APIs","Thu May 08 14:25:17 GMT 2025","passed","Thu May 08 14:25:18 GMT 2025","","List Participants","",""
"","196","Login - Invalid Credentials - Missing Email","Assurdly | Participant APIs","Thu May 08 14:25:17 GMT 2025","passed","Thu May 08 14:25:17 GMT 2025","Login","Authentication","",""
"","178","Get Brands Aligned to Participan - Valid","Assurdly | Participant APIs","Thu May 08 14:25:20 GMT 2025","passed","Thu May 08 14:25:20 GMT 2025","","Get Participant Brands","",""
"Used to update the Participant Details","181","Update Participants Detail - Nonexisting participant","Assurdly | Participant APIs","Thu May 08 14:25:19 GMT 2025","failed","Thu May 08 14:25:19 GMT 2025","","Update Participant","",""
"Used to update the Participant Details","182","Update Participants Detail - Valid","Assurdly | Participant APIs","Thu May 08 14:25:18 GMT 2025","passed","Thu May 08 14:25:19 GMT 2025","","Update Participant","",""
"Get the detail of Participant","343","Participants Detail - No Auth","Assurdly | Participant APIs","Thu May 08 14:25:18 GMT 2025","failed","Thu May 08 14:25:18 GMT 2025","","Get a Participant","",""
"","181","Add new Brand for Participant","Assurdly | Participant APIs","Thu May 08 14:25:20 GMT 2025","passed","Thu May 08 14:25:20 GMT 2025","","create-brands","",""
"","204","Login - Invalid Credentials","Assurdly | Participant APIs","Thu May 08 14:25:17 GMT 2025","passed","Thu May 08 14:25:17 GMT 2025","Login","Authentication","",""
"Used to get the release version","174","Get App Release Version","Assurdly | Participant APIs","Thu May 08 14:25:20 GMT 2025","passed","Thu May 08 14:25:20 GMT 2025","","Get App Release","",""
"Used to add new Participant","183","Add New Participant","Assurdly | Participant APIs","Thu May 08 14:25:19 GMT 2025","failed","Thu May 08 14:25:20 GMT 2025","","Add Participant","",""
"Used to update the Site Details","183","Update Site Detail","Assurdly | Participant APIs","Thu May 08 14:25:19 GMT 2025","passed","Thu May 08 14:25:19 GMT 2025","","Update Site","",""
"","992","Login - Valid Credentials","Assurdly | Participant APIs","Thu May 08 14:25:16 GMT 2025","passed","Thu May 08 14:25:17 GMT 2025","Login","Authentication","",""
"Used to update the Participant Details","180","Update Participants Detail - Valid Copy","Assurdly | Participant APIs","Thu May 08 14:25:19 GMT 2025","passed","Thu May 08 14:25:19 GMT 2025","","Update Participant","",""
"","185","Get Countries List","Assurdly | Participant APIs","Thu May 08 14:25:20 GMT 2025","passed","Thu May 08 14:25:21 GMT 2025","","Country List","",""
"Used to add new site","341","Add New Site Detail","Assurdly | Participant APIs","Thu May 08 14:25:19 GMT 2025","failed","Thu May 08 14:25:19 GMT 2025","","Add Site","",""
"Lists all the participants created with the system","340","Participants List - No Auth","Assurdly | Participant APIs","Thu May 08 14:25:18 GMT 2025","failed","Thu May 08 14:25:18 GMT 2025","","List Participants","",""
