"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","159","Login - Invalid Credentials - Missing Password","Assurdly | User Management API","Sun May 25 20:24:11 GMT 2025","failed","Sun May 25 20:24:12 GMT 2025","Login","Authentication","",""
"","268","Create User - Empty Email Address","Assurdly | User Management API","Sun May 25 20:24:13 GMT 2025","passed","Sun May 25 20:24:13 GMT 2025","","Add a User","",""
"","266","Edit User - Empty Last Name","Assurdly | User Management API","Sun May 25 20:24:14 GMT 2025","passed","Sun May 25 20:24:14 GMT 2025","Edit User","Edit a User","",""
"","267","Change Organization - Org. Does not Exist","Assurdly | User Management API","Sun May 25 20:24:16 GMT 2025","passed","Sun May 25 20:24:17 GMT 2025","","Change a User's Organization","",""
"","268","Check Email Availability","Assurdly | User Management API","Sun May 25 20:24:15 GMT 2025","passed","Sun May 25 20:24:15 GMT 2025","","Email Availability","",""
"","287","Get Users List","Assurdly | User Management API","Sun May 25 20:24:12 GMT 2025","passed","Sun May 25 20:24:12 GMT 2025","","List Users","",""
"","976","Login - Valid Credentials","Assurdly | User Management API","Sun May 25 20:24:10 GMT 2025","failed","Sun May 25 20:24:11 GMT 2025","Login","Authentication","",""
"","273","Get Users List - No Auth","Assurdly | User Management API","Sun May 25 20:24:12 GMT 2025","failed","Sun May 25 20:24:12 GMT 2025","","List Users","",""
"","267","Update User Status - Success","Assurdly | User Management API","Sun May 25 20:24:17 GMT 2025","passed","Sun May 25 20:24:17 GMT 2025","","Update User Status","",""
"","265","Create User - Empty Org Id","Assurdly | User Management API","Sun May 25 20:24:13 GMT 2025","passed","Sun May 25 20:24:13 GMT 2025","","Add a User","",""
"","268","Check Email Availability - Does Not Exist","Assurdly | User Management API","Sun May 25 20:24:15 GMT 2025","passed","Sun May 25 20:24:16 GMT 2025","","Email Availability","",""
"","268","Change Organization","Assurdly | User Management API","Sun May 25 20:24:16 GMT 2025","passed","Sun May 25 20:24:16 GMT 2025","","Change a User's Organization","",""
"","163","Login - Invalid Credentials - Missing Email","Assurdly | User Management API","Sun May 25 20:24:12 GMT 2025","passed","Sun May 25 20:24:12 GMT 2025","Login","Authentication","",""
"","265","User Roles - No Auth","Assurdly | User Management API","Sun May 25 20:24:16 GMT 2025","passed","Sun May 25 20:24:16 GMT 2025","Get User Roles","View User Roles","",""
"","269","User Roles","Assurdly | User Management API","Sun May 25 20:24:16 GMT 2025","passed","Sun May 25 20:24:16 GMT 2025","Get User Roles","View User Roles","",""
"","272","Check User Availability - Does Not Exist","Assurdly | User Management API","Sun May 25 20:24:15 GMT 2025","passed","Sun May 25 20:24:15 GMT 2025","","User Availability","",""
"","274","Create User - Success","Assurdly | User Management API","Sun May 25 20:24:12 GMT 2025","passed","Sun May 25 20:24:13 GMT 2025","","Add a User","",""
"","265","Edit User - No email","Assurdly | User Management API","Sun May 25 20:24:14 GMT 2025","passed","Sun May 25 20:24:14 GMT 2025","Edit User","Edit a User","",""
"","168","Login - Invalid Credentials","Assurdly | User Management API","Sun May 25 20:24:11 GMT 2025","passed","Sun May 25 20:24:11 GMT 2025","Login","Authentication","",""
"","274","Create User - Empty name Fields","Assurdly | User Management API","Sun May 25 20:24:13 GMT 2025","passed","Sun May 25 20:24:13 GMT 2025","","Add a User","",""
"","268","Check User Availability","Assurdly | User Management API","Sun May 25 20:24:14 GMT 2025","passed","Sun May 25 20:24:15 GMT 2025","","User Availability","",""
"","269","Edit User","Assurdly | User Management API","Sun May 25 20:24:13 GMT 2025","passed","Sun May 25 20:24:14 GMT 2025","Edit User","Edit a User","",""
"","266","Edit User - Empty First Name","Assurdly | User Management API","Sun May 25 20:24:14 GMT 2025","passed","Sun May 25 20:24:14 GMT 2025","Edit User","Edit a User","",""
