"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","189","Total Events Count","Assurdly | Receiver API","Fri Apr 11 11:36:55 GMT 2025","passed","Fri Apr 11 11:36:55 GMT 2025","","Events","",""
"","440","Get Product Instance Shared With Government Stats","Assurdly | Receiver API","Fri Apr 11 11:36:57 GMT 2025","passed","Fri Apr 11 11:36:58 GMT 2025","","Shared With Government","",""
"","412","Get Product Instance Graph Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Fri Apr 11 11:36:56 GMT 2025","failed","Fri Apr 11 11:36:57 GMT 2025","","Product Instances","",""
"","236","Get Product Instance Shared with Government - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Fri Apr 11 11:36:57 GMT 2025","failed","Fri Apr 11 11:36:57 GMT 2025","","Shared With Government","",""
"","456","Get Product Instance Shared With Government Stats - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Fri Apr 11 11:36:58 GMT 2025","failed","Fri Apr 11 11:36:58 GMT 2025","","Shared With Government","",""
"","420","Get Product Instance Graph","Assurdly | Receiver API","Fri Apr 11 11:36:56 GMT 2025","passed","Fri Apr 11 11:36:56 GMT 2025","","Product Instances","",""
"","212","Get Product Instance - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Fri Apr 11 11:36:56 GMT 2025","failed","Fri Apr 11 11:36:56 GMT 2025","","Product Instances","",""
"","419","Dashboard Filter","Assurdly | Receiver API","Fri Apr 11 11:36:53 GMT 2025","passed","Fri Apr 11 11:36:54 GMT 2025","Stats","Dashboard","",""
"","228","Get Product Instance Shared with Government","Assurdly | Receiver API","Fri Apr 11 11:36:57 GMT 2025","passed","Fri Apr 11 11:36:57 GMT 2025","","Shared With Government","",""
"","920","Login - Valid Credentials","Assurdly | Receiver API","Fri Apr 11 11:36:50 GMT 2025","passed","Fri Apr 11 11:36:51 GMT 2025","Login","Authentication","",""
"","190","Read Notification","Assurdly | Receiver API","Fri Apr 11 11:36:52 GMT 2025","passed","Fri Apr 11 11:36:52 GMT 2025","Notification","Home","",""
"","184","Login - Invalid Credentials - Missing Password","Assurdly | Receiver API","Fri Apr 11 11:36:51 GMT 2025","failed","Fri Apr 11 11:36:52 GMT 2025","Login","Authentication","",""
"","274","Total Event","Assurdly | Receiver API","Fri Apr 11 11:36:54 GMT 2025","passed","Fri Apr 11 11:36:54 GMT 2025","","Events","",""
"","259","Login - Invalid Credentials - Wrong Username or Password","Assurdly | Receiver API","Fri Apr 11 11:36:51 GMT 2025","passed","Fri Apr 11 11:36:51 GMT 2025","Login","Authentication","",""
"","333","Tour status","Assurdly | Receiver API","Fri Apr 11 11:36:52 GMT 2025","passed","Fri Apr 11 11:36:52 GMT 2025","Tour","Home","",""
"","194","Set uom Preference","Assurdly | Receiver API","Fri Apr 11 11:36:53 GMT 2025","passed","Fri Apr 11 11:36:53 GMT 2025","Preference","Home","",""
