"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1771","Change Organization - Org. Does not Exist","Assurdly | User Management API","Sun May 11 20:23:34 GMT 2025","passed","Sun May 11 20:23:36 GMT 2025","","Change a User's Organization","",""
"","204","Edit User - No email","Assurdly | User Management API","Sun May 11 20:23:30 GMT 2025","failed","Sun May 11 20:23:30 GMT 2025","Edit User","Edit a User","",""
"","204","Login - Invalid Credentials","Assurdly | User Management API","Sun May 11 20:23:26 GMT 2025","passed","Sun May 11 20:23:26 GMT 2025","Login","Authentication","",""
"","1058","Login - Valid Credentials","Assurdly | User Management API","Sun May 11 20:23:25 GMT 2025","failed","Sun May 11 20:23:26 GMT 2025","Login","Authentication","",""
"","546","Create User - Empty Email Address","Assurdly | User Management API","Sun May 11 20:23:28 GMT 2025","failed","Sun May 11 20:23:29 GMT 2025","","Add a User","",""
"","775","Get Users List","Assurdly | User Management API","Sun May 11 20:23:27 GMT 2025","passed","Sun May 11 20:23:27 GMT 2025","","List Users","",""
"","267","Check User Availability","Assurdly | User Management API","Sun May 11 20:23:31 GMT 2025","passed","Sun May 11 20:23:31 GMT 2025","","User Availability","",""
"","230","Check User Availability - Does Not Exist","Assurdly | User Management API","Sun May 11 20:23:31 GMT 2025","passed","Sun May 11 20:23:31 GMT 2025","","User Availability","",""
"","487","Create User - Empty name Fields","Assurdly | User Management API","Sun May 11 20:23:29 GMT 2025","failed","Sun May 11 20:23:29 GMT 2025","","Add a User","",""
"","1816","Change Organization","Assurdly | User Management API","Sun May 11 20:23:32 GMT 2025","passed","Sun May 11 20:23:34 GMT 2025","","Change a User's Organization","",""
"","191","Login - Invalid Credentials - Missing Password","Assurdly | User Management API","Sun May 11 20:23:26 GMT 2025","failed","Sun May 11 20:23:26 GMT 2025","Login","Authentication","",""
"","254","Check Email Availability - Does Not Exist","Assurdly | User Management API","Sun May 11 20:23:31 GMT 2025","passed","Sun May 11 20:23:32 GMT 2025","","Email Availability","",""
"","191","Login - Invalid Credentials - Missing Email","Assurdly | User Management API","Sun May 11 20:23:26 GMT 2025","passed","Sun May 11 20:23:27 GMT 2025","Login","Authentication","",""
"","211","Edit User - Empty Last Name","Assurdly | User Management API","Sun May 11 20:23:30 GMT 2025","failed","Sun May 11 20:23:31 GMT 2025","Edit User","Edit a User","",""
"","209","Update User Status - Success","Assurdly | User Management API","Sun May 11 20:23:36 GMT 2025","passed","Sun May 11 20:23:36 GMT 2025","","Update User Status","",""
"","192","User Roles","Assurdly | User Management API","Sun May 11 20:23:32 GMT 2025","passed","Sun May 11 20:23:32 GMT 2025","Get User Roles","View User Roles","",""
"","470","Create User - Success","Assurdly | User Management API","Sun May 11 20:23:28 GMT 2025","passed","Sun May 11 20:23:28 GMT 2025","","Add a User","",""
"","344","Get Users List - No Auth","Assurdly | User Management API","Sun May 11 20:23:27 GMT 2025","failed","Sun May 11 20:23:28 GMT 2025","","List Users","",""
"","335","User Roles - No Auth","Assurdly | User Management API","Sun May 11 20:23:32 GMT 2025","passed","Sun May 11 20:23:32 GMT 2025","Get User Roles","View User Roles","",""
"","464","Create User - Empty Org Id","Assurdly | User Management API","Sun May 11 20:23:29 GMT 2025","failed","Sun May 11 20:23:30 GMT 2025","","Add a User","",""
"","257","Check Email Availability","Assurdly | User Management API","Sun May 11 20:23:31 GMT 2025","passed","Sun May 11 20:23:31 GMT 2025","","Email Availability","",""
"","218","Edit User - Empty First Name","Assurdly | User Management API","Sun May 11 20:23:30 GMT 2025","failed","Sun May 11 20:23:30 GMT 2025","Edit User","Edit a User","",""
"","210","Edit User","Assurdly | User Management API","Sun May 11 20:23:30 GMT 2025","failed","Sun May 11 20:23:30 GMT 2025","Edit User","Edit a User","",""
