"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","224","Get FQS Invalid Field","Assurdly | Shipper API","Sun Apr 13 20:15:35 GMT 2025","failed","Sun Apr 13 20:15:36 GMT 2025","","FQS","",""
"","211","Get Share FQS Invalid Field","Assurdly | Shipper API","Sun Apr 13 20:15:36 GMT 2025","passed","Sun Apr 13 20:15:36 GMT 2025","","FQS","",""
"","837","Dashboard Filter","Assurdly | Shipper API","Sun Apr 13 20:15:24 GMT 2025","passed","Sun Apr 13 20:15:25 GMT 2025","Stats","Dashboard","",""
"","736","Login - Valid Credentials","Assurdly | Shipper API","Sun Apr 13 20:15:21 GMT 2025","passed","Sun Apr 13 20:15:22 GMT 2025","Login","Authentication","",""
"","124","Read Notification","Assurdly | Shipper API","Sun Apr 13 20:15:23 GMT 2025","passed","Sun Apr 13 20:15:23 GMT 2025","Notification","Home","",""
"","231","Participant Details","Assurdly | Shipper API","Sun Apr 13 20:15:23 GMT 2025","passed","Sun Apr 13 20:15:23 GMT 2025","Participant","Home","",""
"","283","Get Product Instance Shared with Government - Invalid Request (missing or incomplete field)","Assurdly | Shipper API","Sun Apr 13 20:15:30 GMT 2025","failed","Sun Apr 13 20:15:30 GMT 2025","","Shared With Government","",""
"","216","Get Labels - Empty Fields","Assurdly | Shipper API","Sun Apr 13 20:15:32 GMT 2025","failed","Sun Apr 13 20:15:33 GMT 2025","Shipping > Get Labels","Shipping Event","",""
"","213","Get all config types","Assurdly | Shipper API","Sun Apr 13 20:15:32 GMT 2025","passed","Sun Apr 13 20:15:32 GMT 2025","Shipping > Config Types","Shipping Event","",""
"","211","Get column mapper state","Assurdly | Shipper API","Sun Apr 13 20:15:35 GMT 2025","passed","Sun Apr 13 20:15:35 GMT 2025","Bulk Upload > Column Mapped State","Shipping Event","",""
"","252","Get Sites","Assurdly | Shipper API","Sun Apr 13 20:15:32 GMT 2025","passed","Sun Apr 13 20:15:32 GMT 2025","Shipping > Get Sites","Shipping Event","",""
"","220","Get Share FQS","Assurdly | Shipper API","Sun Apr 13 20:15:36 GMT 2025","failed","Sun Apr 13 20:15:36 GMT 2025","","FQS","",""
"","214","Get participant details - Empty Fields","Assurdly | Shipper API","Sun Apr 13 20:15:34 GMT 2025","failed","Sun Apr 13 20:15:34 GMT 2025","Shipping > Get Participant Details","Shipping Event","",""
