"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","340","Change Organization","Assurdly | User Management API","Wed Jun 11 18:47:49 GMT 2025","passed","Wed Jun 11 18:47:50 GMT 2025","","Change a User's Organization","",""
"","339","Check Email Availability - Does Not Exist","Assurdly | User Management API","Wed Jun 11 18:47:48 GMT 2025","passed","Wed Jun 11 18:47:49 GMT 2025","","Email Availability","",""
"","858","Login - Valid Credentials","Assurdly | User Management API","Wed Jun 11 18:47:42 GMT 2025","failed","Wed Jun 11 18:47:43 GMT 2025","Login","Authentication","",""
"","342","Check User Availability - Does Not Exist","Assurdly | User Management API","Wed Jun 11 18:47:47 GMT 2025","passed","Wed Jun 11 18:47:48 GMT 2025","","User Availability","",""
"","338","Edit User - Empty Last Name","Assurdly | User Management API","Wed Jun 11 18:47:47 GMT 2025","passed","Wed Jun 11 18:47:47 GMT 2025","Edit User","Edit a User","",""
"","342","Create User - Empty Email Address","Assurdly | User Management API","Wed Jun 11 18:47:45 GMT 2025","passed","Wed Jun 11 18:47:45 GMT 2025","","Add a User","",""
"","336","Check User Availability","Assurdly | User Management API","Wed Jun 11 18:47:47 GMT 2025","passed","Wed Jun 11 18:47:47 GMT 2025","","User Availability","",""
"","347","Get Users List","Assurdly | User Management API","Wed Jun 11 18:47:44 GMT 2025","passed","Wed Jun 11 18:47:44 GMT 2025","","List Users","",""
"","209","Login - Invalid Credentials","Assurdly | User Management API","Wed Jun 11 18:47:43 GMT 2025","passed","Wed Jun 11 18:47:43 GMT 2025","Login","Authentication","",""
"","339","Edit User - No email","Assurdly | User Management API","Wed Jun 11 18:47:46 GMT 2025","passed","Wed Jun 11 18:47:46 GMT 2025","Edit User","Edit a User","",""
"","342","Check Email Availability","Assurdly | User Management API","Wed Jun 11 18:47:48 GMT 2025","passed","Wed Jun 11 18:47:48 GMT 2025","","Email Availability","",""
"","342","Get Users List - No Auth","Assurdly | User Management API","Wed Jun 11 18:47:44 GMT 2025","failed","Wed Jun 11 18:47:44 GMT 2025","","List Users","",""
"","341","Create User - Empty Org Id","Assurdly | User Management API","Wed Jun 11 18:47:45 GMT 2025","passed","Wed Jun 11 18:47:46 GMT 2025","","Add a User","",""
"","191","Login - Invalid Credentials - Missing Password","Assurdly | User Management API","Wed Jun 11 18:47:43 GMT 2025","failed","Wed Jun 11 18:47:44 GMT 2025","Login","Authentication","",""
"","338","Edit User","Assurdly | User Management API","Wed Jun 11 18:47:46 GMT 2025","passed","Wed Jun 11 18:47:46 GMT 2025","Edit User","Edit a User","",""
"","338","Update User Status - Success","Assurdly | User Management API","Wed Jun 11 18:47:50 GMT 2025","passed","Wed Jun 11 18:47:50 GMT 2025","","Update User Status","",""
"","339","Change Organization - Org. Does not Exist","Assurdly | User Management API","Wed Jun 11 18:47:50 GMT 2025","passed","Wed Jun 11 18:47:50 GMT 2025","","Change a User's Organization","",""
"","346","Create User - Empty name Fields","Assurdly | User Management API","Wed Jun 11 18:47:45 GMT 2025","passed","Wed Jun 11 18:47:45 GMT 2025","","Add a User","",""
"","344","Create User - Success","Assurdly | User Management API","Wed Jun 11 18:47:44 GMT 2025","passed","Wed Jun 11 18:47:45 GMT 2025","","Add a User","",""
"","196","Login - Invalid Credentials - Missing Email","Assurdly | User Management API","Wed Jun 11 18:47:44 GMT 2025","passed","Wed Jun 11 18:47:44 GMT 2025","Login","Authentication","",""
"","338","User Roles - No Auth","Assurdly | User Management API","Wed Jun 11 18:47:49 GMT 2025","passed","Wed Jun 11 18:47:49 GMT 2025","Get User Roles","View User Roles","",""
"","336","User Roles","Assurdly | User Management API","Wed Jun 11 18:47:49 GMT 2025","passed","Wed Jun 11 18:47:49 GMT 2025","Get User Roles","View User Roles","",""
"","336","Edit User - Empty First Name","Assurdly | User Management API","Wed Jun 11 18:47:46 GMT 2025","passed","Wed Jun 11 18:47:47 GMT 2025","Edit User","Edit a User","",""
