"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Used to update the Participant Details","121","Update Participants Detail - Valid","Assurdly | Participant APIs","Sun May 11 20:21:48 GMT 2025","passed","Sun May 11 20:21:48 GMT 2025","","Update Participant","",""
"Get the detail of Participant","202","Participants Detail","Assurdly | Participant APIs","Sun May 11 20:21:48 GMT 2025","passed","Sun May 11 20:21:48 GMT 2025","","Get a Participant","",""
"Lists all the participants created with the system","201","Participants List - No Auth","Assurdly | Participant APIs","Sun May 11 20:21:47 GMT 2025","failed","Sun May 11 20:21:48 GMT 2025","","List Participants","",""
"","126","Login - Invalid Credentials - Missing Email","Assurdly | Participant APIs","Sun May 11 20:21:47 GMT 2025","passed","Sun May 11 20:21:47 GMT 2025","Login","Authentication","",""
"Used to get the release version","201","Get App Release Version","Assurdly | Participant APIs","Sun May 11 20:21:49 GMT 2025","passed","Sun May 11 20:21:49 GMT 2025","","Get App Release","",""
"","125","Login - Invalid Credentials","Assurdly | Participant APIs","Sun May 11 20:21:47 GMT 2025","passed","Sun May 11 20:21:47 GMT 2025","Login","Authentication","",""
"Lists all the participants created with the system","214","Participants List - Valid Request","Assurdly | Participant APIs","Sun May 11 20:21:47 GMT 2025","passed","Sun May 11 20:21:47 GMT 2025","","List Participants","",""
"Used to update the Participant Details","116","Update Participants Detail - Nonexisting participant","Assurdly | Participant APIs","Sun May 11 20:21:48 GMT 2025","failed","Sun May 11 20:21:48 GMT 2025","","Update Participant","",""
"","644","Login - Valid Credentials","Assurdly | Participant APIs","Sun May 11 20:21:46 GMT 2025","failed","Sun May 11 20:21:47 GMT 2025","Login","Authentication","",""
"","204","Get Brands Aligned to Participan - Valid","Assurdly | Participant APIs","Sun May 11 20:21:49 GMT 2025","passed","Sun May 11 20:21:49 GMT 2025","","Get Participant Brands","",""
"Used to add new site","205","Add New Site Detail","Assurdly | Participant APIs","Sun May 11 20:21:49 GMT 2025","failed","Sun May 11 20:21:49 GMT 2025","","Add Site","",""
"Used to update the Participant Details","108","Update Participants Detail - Valid Copy","Assurdly | Participant APIs","Sun May 11 20:21:48 GMT 2025","passed","Sun May 11 20:21:48 GMT 2025","","Update Participant","",""
"","201","Get Countries List","Assurdly | Participant APIs","Sun May 11 20:21:50 GMT 2025","failed","Sun May 11 20:21:50 GMT 2025","","Country List","",""
"Used to update the Site Details","210","Update Site Detail","Assurdly | Participant APIs","Sun May 11 20:21:48 GMT 2025","passed","Sun May 11 20:21:49 GMT 2025","","Update Site","",""
"","203","Delete Brand for Participant","Assurdly | Participant APIs","Sun May 11 20:21:50 GMT 2025","passed","Sun May 11 20:21:50 GMT 2025","","Delete Brands","",""
"Used to add new Participant","212","Add New Participant","Assurdly | Participant APIs","Sun May 11 20:21:49 GMT 2025","failed","Sun May 11 20:21:49 GMT 2025","","Add Participant","",""
"","200","Add new Brand for Participant","Assurdly | Participant APIs","Sun May 11 20:21:49 GMT 2025","passed","Sun May 11 20:21:50 GMT 2025","","create-brands","",""
"","122","Login - Invalid Credentials - Missing Password","Assurdly | Participant APIs","Sun May 11 20:21:47 GMT 2025","failed","Sun May 11 20:21:47 GMT 2025","Login","Authentication","",""
"Get the detail of Participant","203","Participants Detail - No Auth","Assurdly | Participant APIs","Sun May 11 20:21:48 GMT 2025","failed","Sun May 11 20:21:48 GMT 2025","","Get a Participant","",""
