"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","216","Get Total Event","Assurdly | Producer API","Fri Apr 11 11:51:51 GMT 2025","failed","Fri Apr 11 11:51:51 GMT 2025","","Events","",""
"","209","Get Events Information","Assurdly | Producer API","Fri Apr 11 11:51:51 GMT 2025","failed","Fri Apr 11 11:51:52 GMT 2025","","Events","",""
"","205","Get Sites","Assurdly | Producer API","Fri Apr 11 11:51:49 GMT 2025","passed","Fri Apr 11 11:51:49 GMT 2025","Get Sites","Analysis","",""
"","116","Token","Assurdly | Producer API","Fri Apr 11 11:51:42 GMT 2025","passed","Fri Apr 11 11:51:42 GMT 2025","Token","Authentication","",""
"","408","Get Product Instance Shared Government","Assurdly | Producer API","Fri Apr 11 11:51:47 GMT 2025","passed","Fri Apr 11 11:51:48 GMT 2025","","Shared With Government","",""
"","218","Get Total Events Count","Assurdly | Producer API","Fri Apr 11 11:51:52 GMT 2025","passed","Fri Apr 11 11:51:52 GMT 2025","","Events","",""
"","298","Notifications","Assurdly | Producer API","Fri Apr 11 11:51:42 GMT 2025","passed","Fri Apr 11 11:51:43 GMT 2025","Notification","Home","",""
"","267","Get Product Instance List","Assurdly | Producer API","Fri Apr 11 11:51:50 GMT 2025","passed","Fri Apr 11 11:51:50 GMT 2025","","Product Instances","",""
"","208","Single Event - Empty Event Type","Assurdly | Producer API","Fri Apr 11 11:51:49 GMT 2025","passed","Fri Apr 11 11:51:49 GMT 2025","","Transformation Event","",""
"","234","Create Single Event Empty and Invalid Field","Assurdly | Producer API","Fri Apr 11 11:51:49 GMT 2025","failed","Fri Apr 11 11:51:50 GMT 2025","","Analysis","",""
"","208","Create Bulk Event","Assurdly | Producer API","Fri Apr 11 11:51:50 GMT 2025","failed","Fri Apr 11 11:51:50 GMT 2025","","Analysis","",""
"","227","Get Preference","Assurdly | Producer API","Fri Apr 11 11:51:43 GMT 2025","failed","Fri Apr 11 11:51:43 GMT 2025","Preference","Home","",""
"","966","Get Product Instance Shared Government Copy","Assurdly | Producer API","Fri Apr 11 11:51:48 GMT 2025","passed","Fri Apr 11 11:51:49 GMT 2025","","Shared With Government","",""
"","1399","Get Dashboard Statistics Empty Field","Assurdly | Producer API","Fri Apr 11 11:51:45 GMT 2025","passed","Fri Apr 11 11:51:47 GMT 2025","Overview > Stats","Dashboard","",""
"","210","Get Product Shared Government Count Empty and Invalid Field","Assurdly | Producer API","Fri Apr 11 11:51:47 GMT 2025","passed","Fri Apr 11 11:51:47 GMT 2025","","Shared With Government","",""
"","227","Set Preference","Assurdly | Producer API","Fri Apr 11 11:51:43 GMT 2025","passed","Fri Apr 11 11:51:43 GMT 2025","Preference","Home","",""
"","1685","Get Dashboard Statistics","Assurdly | Producer API","Fri Apr 11 11:51:43 GMT 2025","passed","Fri Apr 11 11:51:45 GMT 2025","Overview > Stats","Dashboard","",""
"","225","Tour Status","Assurdly | Producer API","Fri Apr 11 11:51:43 GMT 2025","passed","Fri Apr 11 11:51:43 GMT 2025","Tour","Home","",""
"","194","Login - Invalid Credentials","Assurdly | Producer API","Fri Apr 11 11:51:42 GMT 2025","passed","Fri Apr 11 11:51:42 GMT 2025","Login","Authentication","",""
"","215","Get Product Instance Graph Copy","Assurdly | Producer API","Fri Apr 11 11:51:51 GMT 2025","failed","Fri Apr 11 11:51:51 GMT 2025","","Product Instances","",""
"","217","Get Product Shared Government Count","Assurdly | Producer API","Fri Apr 11 11:51:47 GMT 2025","failed","Fri Apr 11 11:51:47 GMT 2025","","Shared With Government","",""
"","279","Get Product Instance Empty and Invalid Field","Assurdly | Producer API","Fri Apr 11 11:51:50 GMT 2025","failed","Fri Apr 11 11:51:51 GMT 2025","","Product Instances","",""
"","121","Login - Invalid Credentials - Missing Email","Assurdly | Producer API","Fri Apr 11 11:51:42 GMT 2025","passed","Fri Apr 11 11:51:42 GMT 2025","Login","Authentication","",""
"","211","Get FQS","Assurdly | Producer API","Fri Apr 11 11:51:50 GMT 2025","failed","Fri Apr 11 11:51:50 GMT 2025","FQS","Product Instances","",""
"","232","Participant Details","Assurdly | Producer API","Fri Apr 11 11:51:43 GMT 2025","passed","Fri Apr 11 11:51:43 GMT 2025","participant","Home","",""
"","217","Create Single Event","Assurdly | Producer API","Fri Apr 11 11:51:49 GMT 2025","failed","Fri Apr 11 11:51:49 GMT 2025","","Transformation Event","",""
"","265","Get Dashboard Filter","Assurdly | Producer API","Fri Apr 11 11:51:47 GMT 2025","passed","Fri Apr 11 11:51:47 GMT 2025","Overview > Stats","Dashboard","",""
"","124","Login - Invalid Credentials - Missing Password","Assurdly | Producer API","Fri Apr 11 11:51:42 GMT 2025","failed","Fri Apr 11 11:51:42 GMT 2025","Login","Authentication","",""
"","210","Get Product Instance Graph","Assurdly | Producer API","Fri Apr 11 11:51:51 GMT 2025","failed","Fri Apr 11 11:51:51 GMT 2025","","Product Instances","",""
"","703","Login - Valid Credentials","Assurdly | Producer API","Fri Apr 11 11:51:41 GMT 2025","passed","Fri Apr 11 11:51:42 GMT 2025","Login","Authentication","",""
"","231","Create Single Event","Assurdly | Producer API","Fri Apr 11 11:51:49 GMT 2025","failed","Fri Apr 11 11:51:49 GMT 2025","","Analysis","",""
