"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","229","Read Notification - Invalid Notification id","Assurdly | Producer API","Fri May 09 18:48:33 GMT 2025","failed","Fri May 09 18:48:34 GMT 2025","Notification","Home","",""
"","226","Get Analysis Manufacturers - Empty Fields","Assurdly | Producer API","Fri May 09 18:48:48 GMT 2025","passed","Fri May 09 18:48:48 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","737","Login - Valid Credentials","Assurdly | Producer API","Fri May 09 18:48:31 GMT 2025","passed","Fri May 09 18:48:32 GMT 2025","Login","Authentication","",""
"","229","Get Preference - Get Labels -","Assurdly | Producer API","Fri May 09 18:48:46 GMT 2025","failed","Fri May 09 18:48:46 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","241","Get Product Shared Government Count Empty Field","Assurdly | Producer API","Fri May 09 18:48:38 GMT 2025","passed","Fri May 09 18:48:39 GMT 2025","","Shared With Government","",""
"","201","Login - Invalid Credentials","Assurdly | Producer API","Fri May 09 18:48:32 GMT 2025","passed","Fri May 09 18:48:32 GMT 2025","Login","Authentication","",""
"","233","Get transform outprod","Assurdly | Producer API","Fri May 09 18:48:41 GMT 2025","passed","Fri May 09 18:48:42 GMT 2025","Transformation > Get Transform Outprod","Transformation Event","",""
"","237","Get Analysis Product Ids","Assurdly | Producer API","Fri May 09 18:48:48 GMT 2025","passed","Fri May 09 18:48:48 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","221","Get Analysis Manufacturers","Assurdly | Producer API","Fri May 09 18:48:48 GMT 2025","passed","Fri May 09 18:48:49 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","270","Get Dashboard Filter","Assurdly | Producer API","Fri May 09 18:48:38 GMT 2025","passed","Fri May 09 18:48:38 GMT 2025","Overview > Stats","Dashboard","",""
"","259","Get FQS","Assurdly | Producer API","Fri May 09 18:48:50 GMT 2025","passed","Fri May 09 18:48:50 GMT 2025","","FQS","",""
"","227","Creating Analysis Event - Invalid Fields","Assurdly | Producer API","Fri May 09 18:48:50 GMT 2025","passed","Fri May 09 18:48:50 GMT 2025","Single Event","Analysis Event","",""
"","281","Get Sites","Assurdly | Producer API","Fri May 09 18:48:39 GMT 2025","passed","Fri May 09 18:48:39 GMT 2025","Transformation > Get Sites","Transformation Event","",""
"","226","Get Preference - Empty Fields","Assurdly | Producer API","Fri May 09 18:48:40 GMT 2025","failed","Fri May 09 18:48:40 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","231","Create Bulk Event","Assurdly | Producer API","Fri May 09 18:48:50 GMT 2025","failed","Fri May 09 18:48:50 GMT 2025","","Analysis Event","",""
"","228","Get Labels - Empty Fields","Assurdly | Producer API","Fri May 09 18:48:41 GMT 2025","failed","Fri May 09 18:48:41 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","234","Get manufacturers","Assurdly | Producer API","Fri May 09 18:48:42 GMT 2025","passed","Fri May 09 18:48:42 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","223","Get Tooltips","Assurdly | Producer API","Fri May 09 18:48:46 GMT 2025","passed","Fri May 09 18:48:47 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","225","Get Share FQS","Assurdly | Producer API","Fri May 09 18:48:51 GMT 2025","failed","Fri May 09 18:48:51 GMT 2025","","FQS","",""
"","223","Set uom Preference","Assurdly | Producer API","Fri May 09 18:48:34 GMT 2025","failed","Fri May 09 18:48:34 GMT 2025","Preference","Home","",""
"","221","Set uom Preference - Empty Value","Assurdly | Producer API","Fri May 09 18:48:34 GMT 2025","failed","Fri May 09 18:48:35 GMT 2025","Preference","Home","",""
"","236","Get Product Instance Shared Government Copy","Assurdly | Producer API","Fri May 09 18:48:39 GMT 2025","passed","Fri May 09 18:48:39 GMT 2025","","Shared With Government","",""
"","321","Read Notification - No Authorisation","Assurdly | Producer API","Fri May 09 18:48:34 GMT 2025","passed","Fri May 09 18:48:34 GMT 2025","Notification","Home","",""
"","316","Get FQS Invalid Field","Assurdly | Producer API","Fri May 09 18:48:50 GMT 2025","passed","Fri May 09 18:48:51 GMT 2025","","FQS","",""
"","233","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Fri May 09 18:48:41 GMT 2025","failed","Fri May 09 18:48:41 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","229","Get Preference","Assurdly | Producer API","Fri May 09 18:48:46 GMT 2025","passed","Fri May 09 18:48:46 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","233","Get Product Instance Graph Invalid Field","Assurdly | Producer API","Fri May 09 18:48:44 GMT 2025","failed","Fri May 09 18:48:44 GMT 2025","","Product Instances","",""
"","231","Get Share FQS Invalid Field","Assurdly | Producer API","Fri May 09 18:48:51 GMT 2025","passed","Fri May 09 18:48:51 GMT 2025","","FQS","",""
"","222","Get Total Event Empty Field","Assurdly | Producer API","Fri May 09 18:48:45 GMT 2025","failed","Fri May 09 18:48:45 GMT 2025","","Events","",""
"","230","Get Total Events Count","Assurdly | Producer API","Fri May 09 18:48:45 GMT 2025","passed","Fri May 09 18:48:45 GMT 2025","","Events","",""
"","274","Get Product Instance List","Assurdly | Producer API","Fri May 09 18:48:43 GMT 2025","passed","Fri May 09 18:48:44 GMT 2025","","Product Instances","",""
"","227","Creating Analysis Event - Empty Fields","Assurdly | Producer API","Fri May 09 18:48:49 GMT 2025","passed","Fri May 09 18:48:50 GMT 2025","Single Event","Analysis Event","",""
"","311","Get Share FQS - No auth","Assurdly | Producer API","Fri May 09 18:48:51 GMT 2025","passed","Fri May 09 18:48:52 GMT 2025","","FQS","",""
"","226","Read Notification","Assurdly | Producer API","Fri May 09 18:48:33 GMT 2025","passed","Fri May 09 18:48:33 GMT 2025","Notification","Home","",""
"","225","Get Company Type","Assurdly | Producer API","Fri May 09 18:48:47 GMT 2025","passed","Fri May 09 18:48:48 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
