"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","350","Get tooltip - No auth","Assurdly | Receiver API","Wed Apr 23 18:46:55 GMT 2025","passed","Wed Apr 23 18:46:55 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
"","223","Login - Invalid Credentials - Wrong Username or Password","Assurdly | Receiver API","Wed Apr 23 18:46:46 GMT 2025","passed","Wed Apr 23 18:46:46 GMT 2025","Login","Authentication","",""
"","525","Dashboard Filter","Assurdly | Receiver API","Wed Apr 23 18:46:48 GMT 2025","passed","Wed Apr 23 18:46:49 GMT 2025","Stats","Dashboard","",""
"","261","Total Events Count - Empty Fields","Assurdly | Receiver API","Wed Apr 23 18:46:50 GMT 2025","failed","Wed Apr 23 18:46:51 GMT 2025","","Events Records","",""
"","289","Get Product Instance","Assurdly | Receiver API","Wed Apr 23 18:46:51 GMT 2025","passed","Wed Apr 23 18:46:51 GMT 2025","","Product Instances","",""
"","241","Notifications","Assurdly | Receiver API","Wed Apr 23 18:46:46 GMT 2025","passed","Wed Apr 23 18:46:46 GMT 2025","Notification","Home","",""
"","314","Get sites","Assurdly | Receiver API","Wed Apr 23 18:46:53 GMT 2025","passed","Wed Apr 23 18:46:54 GMT 2025","Receiving > Get Sites","Receiving Event","",""
"","508","Get Product Instance Graph Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Wed Apr 23 18:46:52 GMT 2025","failed","Wed Apr 23 18:46:52 GMT 2025","","Product Instances","",""
"","313","Total Event","Assurdly | Receiver API","Wed Apr 23 18:46:49 GMT 2025","passed","Wed Apr 23 18:46:49 GMT 2025","","Events Records","",""
"","142","Read Notification - Invalid Notification id","Assurdly | Receiver API","Wed Apr 23 18:46:47 GMT 2025","failed","Wed Apr 23 18:46:47 GMT 2025","Notification","Home","",""
"","346","Single event -No auth","Assurdly | Receiver API","Wed Apr 23 18:46:59 GMT 2025","passed","Wed Apr 23 18:47:00 GMT 2025","Single Event","Receiving Event","",""
"","301","Get Product Instance Shared with Government","Assurdly | Receiver API","Wed Apr 23 18:46:52 GMT 2025","passed","Wed Apr 23 18:46:52 GMT 2025","","Shared With Government","",""
"","250","Get Labels - Empty Fields Copy","Assurdly | Receiver API","Wed Apr 23 18:46:57 GMT 2025","failed","Wed Apr 23 18:46:58 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","245","Get label","Assurdly | Receiver API","Wed Apr 23 18:46:57 GMT 2025","passed","Wed Apr 23 18:46:57 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","345","get preference -No auth","Assurdly | Receiver API","Wed Apr 23 18:46:56 GMT 2025","passed","Wed Apr 23 18:46:57 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","349","Get activity numbers - No auth","Assurdly | Receiver API","Wed Apr 23 18:46:59 GMT 2025","passed","Wed Apr 23 18:46:59 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","305","Get Product Instance Shared with Government - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Wed Apr 23 18:46:52 GMT 2025","failed","Wed Apr 23 18:46:53 GMT 2025","","Shared With Government","",""
