"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Used to update the Participant Details","270","Update Participants Detail - Valid Copy","Assurdly | Participant APIs","Sun Jun 08 20:22:43 GMT 2025","passed","Sun Jun 08 20:22:44 GMT 2025","","Update Participant","",""
"","264","Add new Brand for Participant","Assurdly | Participant APIs","Sun Jun 08 20:22:45 GMT 2025","passed","Sun Jun 08 20:22:45 GMT 2025","","create-brands","",""
"Used to add new Participant","271","Add New Participant","Assurdly | Participant APIs","Sun Jun 08 20:22:44 GMT 2025","failed","Sun Jun 08 20:22:44 GMT 2025","","Add Participant","",""
"Get the detail of Participant","263","Participants Detail - No Auth","Assurdly | Participant APIs","Sun Jun 08 20:22:42 GMT 2025","failed","Sun Jun 08 20:22:43 GMT 2025","","Get a Participant","",""
"Used to add new site","270","Add New Site Detail","Assurdly | Participant APIs","Sun Jun 08 20:22:44 GMT 2025","failed","Sun Jun 08 20:22:44 GMT 2025","","Add Site","",""
"","265","Get Countries List","Assurdly | Participant APIs","Sun Jun 08 20:22:45 GMT 2025","failed","Sun Jun 08 20:22:46 GMT 2025","","Country List","",""
"Lists all the participants created with the system","276","Participants List - Valid Request","Assurdly | Participant APIs","Sun Jun 08 20:22:42 GMT 2025","passed","Sun Jun 08 20:22:42 GMT 2025","","List Participants","",""
"","154","Login - Invalid Credentials - Missing Password","Assurdly | Participant APIs","Sun Jun 08 20:22:41 GMT 2025","failed","Sun Jun 08 20:22:41 GMT 2025","Login","Authentication","",""
"Used to update the Site Details","266","Update Site Detail","Assurdly | Participant APIs","Sun Jun 08 20:22:44 GMT 2025","passed","Sun Jun 08 20:22:44 GMT 2025","","Update Site","",""
"Get the detail of Participant","267","Participants Detail","Assurdly | Participant APIs","Sun Jun 08 20:22:42 GMT 2025","passed","Sun Jun 08 20:22:42 GMT 2025","","Get a Participant","",""
"","157","Login - Invalid Credentials - Missing Email","Assurdly | Participant APIs","Sun Jun 08 20:22:41 GMT 2025","passed","Sun Jun 08 20:22:42 GMT 2025","Login","Authentication","",""
"Used to update the Participant Details","274","Update Participants Detail - Valid","Assurdly | Participant APIs","Sun Jun 08 20:22:43 GMT 2025","passed","Sun Jun 08 20:22:43 GMT 2025","","Update Participant","",""
"Used to get the release version","266","Get App Release Version","Assurdly | Participant APIs","Sun Jun 08 20:22:44 GMT 2025","passed","Sun Jun 08 20:22:45 GMT 2025","","Get App Release","",""
"Used to update the Participant Details","272","Update Participants Detail - Nonexisting participant","Assurdly | Participant APIs","Sun Jun 08 20:22:43 GMT 2025","passed","Sun Jun 08 20:22:43 GMT 2025","","Update Participant","",""
"","1090","Login - Valid Credentials","Assurdly | Participant APIs","Sun Jun 08 20:22:40 GMT 2025","failed","Sun Jun 08 20:22:41 GMT 2025","Login","Authentication","",""
"","158","Login - Invalid Credentials","Assurdly | Participant APIs","Sun Jun 08 20:22:41 GMT 2025","passed","Sun Jun 08 20:22:41 GMT 2025","Login","Authentication","",""
"","264","Delete Brand for Participant","Assurdly | Participant APIs","Sun Jun 08 20:22:45 GMT 2025","passed","Sun Jun 08 20:22:45 GMT 2025","","Delete Brands","",""
"","265","Get Brands Aligned to Participan - Valid","Assurdly | Participant APIs","Sun Jun 08 20:22:45 GMT 2025","passed","Sun Jun 08 20:22:45 GMT 2025","","Get Participant Brands","",""
"Lists all the participants created with the system","266","Participants List - No Auth","Assurdly | Participant APIs","Sun Jun 08 20:22:42 GMT 2025","failed","Sun Jun 08 20:22:42 GMT 2025","","List Participants","",""
