"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","262","Get FQS","Assurdly | Shipper API","Sun Apr 13 11:44:59 GMT 2025","passed","Sun Apr 13 11:44:59 GMT 2025","","FQS","",""
"","199","Login - Invalid Credentials","Assurdly | Shipper API","Sun Apr 13 11:44:46 GMT 2025","passed","Sun Apr 13 11:44:46 GMT 2025","Login","Authentication","",""
"","318","Get Sites","Assurdly | Shipper API","Sun Apr 13 11:44:56 GMT 2025","passed","Sun Apr 13 11:44:56 GMT 2025","Shipping > Get Sites","Shipping Event","",""
"","225","Get Labels - Case Sensitive Event Type","Assurdly | Shipper API","Sun Apr 13 11:44:57 GMT 2025","failed","Sun Apr 13 11:44:57 GMT 2025","Shipping > Get Labels","Shipping Event","",""
"","234","Total Events Count","Assurdly | Shipper API","Sun Apr 13 11:44:50 GMT 2025","passed","Sun Apr 13 11:44:51 GMT 2025","Total Event Count","Events Records","",""
"","130","Read Notification - Invalid Notification id","Assurdly | Shipper API","Sun Apr 13 11:44:47 GMT 2025","failed","Sun Apr 13 11:44:47 GMT 2025","Notification","Home","",""
"","311","Notifications","Assurdly | Shipper API","Sun Apr 13 11:44:46 GMT 2025","failed","Sun Apr 13 11:44:47 GMT 2025","Notification","Home","",""
"","257","Total Event","Assurdly | Shipper API","Sun Apr 13 11:44:50 GMT 2025","passed","Sun Apr 13 11:44:50 GMT 2025","Total Event","Events Records","",""
"","221","Get Share FQS - No auth","Assurdly | Shipper API","Sun Apr 13 11:45:00 GMT 2025","passed","Sun Apr 13 11:45:00 GMT 2025","","FQS","",""
"","223","Bulk event","Assurdly | Shipper API","Sun Apr 13 11:44:59 GMT 2025","failed","Sun Apr 13 11:44:59 GMT 2025","Bulk Upload > Bulk Event","Shipping Event","",""
"","238","Set Preference","Assurdly | Shipper API","Sun Apr 13 11:44:47 GMT 2025","passed","Sun Apr 13 11:44:48 GMT 2025","Preference > Set UOM Preference","Home","",""
"","220","Get label","Assurdly | Shipper API","Sun Apr 13 11:44:56 GMT 2025","passed","Sun Apr 13 11:44:56 GMT 2025","Shipping > Get Labels","Shipping Event","",""
"","218","Get product id","Assurdly | Shipper API","Sun Apr 13 11:44:58 GMT 2025","passed","Sun Apr 13 11:44:58 GMT 2025","Shipping > Get Product Id","Shipping Event","",""
"","225","Get column mapper state","Assurdly | Shipper API","Sun Apr 13 11:44:59 GMT 2025","passed","Sun Apr 13 11:44:59 GMT 2025","Bulk Upload > Column Mapped State","Shipping Event","",""
"","228","Get preference","Assurdly | Shipper API","Sun Apr 13 11:44:57 GMT 2025","passed","Sun Apr 13 11:44:57 GMT 2025","Shipping > Get Preference","Shipping Event","",""
"","241","Participant Details","Assurdly | Shipper API","Sun Apr 13 11:44:47 GMT 2025","passed","Sun Apr 13 11:44:47 GMT 2025","Participant","Home","",""
"","124","Login - Invalid Credentials - Missing Password","Assurdly | Shipper API","Sun Apr 13 11:44:46 GMT 2025","failed","Sun Apr 13 11:44:46 GMT 2025","Login","Authentication","",""
